abv,ibu,id,name,style,,brewery_id,ounces
0.095,,1031,Plow Horse Belgian Style Imperial Stout,American Double / Imperial Stout,,1,16
0.092,,909,Escoffier Bretta Ale,American Wild Ale,,1,16
0.065,,873,Contemplation (2012),Bière de Garde,,1,16
0.099,,860,Vivant Belgian Style Imperial Stout (2012),Russian Imperial Stout,,1,16
0.062,,677,Big Red Coq (2012),American Amber / Red Ale,,1,16
0.09,,671,Zaison (2012),Saison / Farmhouse Ale,,1,16
0.092,,670,Vivant Tripel (2012),Tripel,,1,16
0.097,,669,Trebuchet Double IPA (2012),Belgian IPA,,1,16
0.085,,627,Kludde,Belgian Strong Dark Ale,,1,16
0.055,,387,Farm Hand,Saison / Farmhouse Ale,,1,16
0.06,,385,Solitude,Belgian Pale Ale,,1,16
0.065,,384,Triomphe,Belgian IPA,,1,16
0.041,12,2635,Sparkle,American Pale Lager,,1,16
0.059,25,1404,North 45 Amber Ale,American Amber / Red Ale,,1,16
0.069,20,1403,Horny Monk,Dubbel,,1,16
0.067,74,1402,Mind's Eye PA,American IPA,,1,16
0.048,47,2634,Nordskye ,American IPA,,1,12
0.06,30,2153,North Third Stout,Foreign / Export Stout,,1,12
0.052,,1953,Honey Lav,American Pale Wheat Ale,,1,12
0.068,,1496,Coconut Brown Ale,American Brown Ale,,1,12
0.07,51,1481,51K IPA,American IPA,,1,12
0.055,,1480,Grand Rabbits,Cream Ale,,1,12
0.055,10,2633,Hotbox Brown,American Brown Ale,,1,12
0.048,15,2632,Gold,American Blonde Ale,,1,12
0.058,,2631,Black,American Black Ale,,1,12
0.065,65,2630,98 Problems (Cuz A Hop Ain't One),American IPA,,1,12
0.05,40,2629,Veteran’s Pale Ale (VPA),American Pale Ale (APA),,1,12
0.05,35,2628,Grapefruit IPA,American IPA,,1,12
0.058,72,2627,Train Hopper,American IPA,,1,12
0.045,,2626,Edward’s Portly Brown,American Brown Ale,,1,12
0.085,50,2625,Dirty Bastard,Scotch Ale / Wee Heavy,,1,12
0.072,65,1565,Centennial IPA,American IPA,,1,12
0.047,42,1223,All Day IPA,American IPA,,1,12
0.065,,2624,Deflator,Doppelbock,,1,16
0.05,27,2284,Hinchtown Hammer Down,American Blonde Ale,,1,16
0.06,104,1610,Half Cycle IPA,American IPA,,1,16
0.058,20,2623,Cafe Leche,American Porter,,1,16
0.052,12,2622,Damascene Apricot Sour,Fruit / Vegetable Beer,,1,16
0.12,90,2621,Csar,Russian Imperial Stout,,1,16
0.055,,1817,Klingon Warnog Roggen Dunkel,Roggenbier,,1,16
0.085,115,1449,Overlord Imperial IPA,American Double / Imperial IPA,,1,16
0.058,36,951,Alloy,American IPA,,1,16
0.051,22,950,Rivet Irish Red Ale,Irish Red Ale,,1,16
0.052,50,949,3 Gear Robust Porter,American Porter,,1,16
0.045,35,948,Circuit Bohemian Pilsner,Czech Pilsener,,1,16
0.072,75,2620,Saucy Intruder,Rye Beer,,1,16
0.058,,2619,Insert Hop Reference,American Pale Ale (APA),,1,16
0.07,46,2618,Thai.p.a,American IPA,,1,16
0.055,64,2617,Citra Faced,American Pale Wheat Ale,,1,16
0.055,31,2616,Pole Barn Stout,Oatmeal Stout,,1,16
0.054,37,2615,Pale,American Pale Ale (APA),,1,16
0.053,27,2614,Yoshi's Nectar,California Common / Steam Beer,,1,16
0.055,,2613,Feel Like Maplin' Love,Oatmeal Stout,,1,16
0.05,,2612,Father's Beer,Belgian Pale Ale,,1,16
0.06,,2611,The 26th,American IPA,,1,16
0.064,90,2610,The Gadget,American IPA,,1,16
0.058,58,2609,Tribute,American Pale Ale (APA),,1,12
0.065,,2608,Wrath of Pele,American Brown Ale,,1,16
0.068,,2607,Black Beer'd,American Black Ale,,1,16
0.078,,2606,Mr. Tea,Fruit / Vegetable Beer,,1,24
0.055,40,2478,Pale Alement,American Pale Ale (APA),,1,12
0.099,115,2471,Hopkick Dropkick,American Double / Imperial IPA,,1,12
0.06,,2470,Kreamed Corn,Cream Ale,,1,12
0.065,,2464,Coconoats,American Pale Wheat Ale,,1,16
0.068,16,2160,Joey Wheat,American Pale Wheat Ale,,1,16
0.072,86,2158,3:33 Black IPA,American IPA,,1,16
0.068,,2072,MCA,American IPA,,1,16
0.055,40,2054,Pale Alement,American Pale Ale (APA),,1,16
0.052,29,2605,Tip Off,Altbier,,1,16
0.054,,2215,Java Mac,Scottish Ale,,1,16
0.054,23,2164,Cowbell,American Porter,,1,16
0.058,20,2085,Hop Up Offa That Brett (2014),Belgian Pale Ale,,1,16
0.083,23,2084,PV Muckle (2013),Scotch Ale / Wee Heavy,,1,16
0.099,36,2083,Bourbon Barrel Batch 666: Sympathy for the Devil,Belgian Dark Ale,,1,16
0.09,30,2082,Whip Fight,Scotch Ale / Wee Heavy,,1,16
0.053,23,2081,Port Barrel Wee Mac ,Scotch Ale / Wee Heavy,,1,16
0.064,75,2001,Fistful Of Hops Red,American IPA,,1,16
0.063,75,2000,Fistful of Hops Orange,American IPA,,1,16
0.064,75,1999,Fistful Of Hops Blue,American IPA,,1,16
0.064,75,1996,Fistful of Hops Green,American IPA,,1,16
,,1948,30 Min Coma,Belgian IPA,,1,16
